'em	ah m #1
light	l ay t #1
lightbulbs	l ay t b ah l b z
lighted	l ay t ih d
lighter	l ay t er
lightly	l ay t l iy
lights	l ay t s
like	l ay k #1
liked	l ay k t
likely	l ay k l iy
likes	l ay k s
likewise	l ay k w ay z
lily	l ih l iy
limit	l ih m ih t
limited	l ih m ah t ih d
lincoln	l ih ng k ah n
line	l ay n #1
lines	l ay n z
lion	l ay ih n
lip	l ih p #1
lips	l ih p s
liquid	l ih k w ih d #1
liquids	l ih k w ih d z
liquor	l ih k er
list	l ih s t #1
listed	l ih s t ih d
lists	l ih s t s
literally	l ih t er ah l iy
literary	l ih t er eh r iy
literature	l ih t er ah ch uh r
lithographs	l ih th ah g r ae f s
litter	l ih t er #1
little	l ih t l
lived	l ih v d
lively	l ay v l iy
lives	l ih v z
livestock	l ay v s t aa k
live~adj	l ay v #1
live~v	l ih v #1
living	l ih v ih ng
loaded	l ow d ih d
loads	l ow d z
lobes	l ow b z
local	l ow k l
locate	l ow k ey t
location	l ow k ey sh ih n
lock	l aa k #1
locked	l aa k t
lodge	l aa jh #1
logical	l aa jh ih k l #1
logically	l aa jh ih k l iy
logs	l aa g z
lone	l ow n #1
loneliness	l ow n l iy n ih s
long	l aa ng #1
long-overdue	l aa ng ow v er d uw
long-range	l aa ng r ey n jh
long-term	l aa ng t er m
longed	l aa ng d
longer	l aa ng g er
longitudes	l aa n jh ih t uw d z
look	l uh k #1
looked	l uh k t
looking	l uh k ih ng
looks	l uh k s
looms	l uw m z
loose	l uw s
lori's	l aa r iy z
lose	l uw z
loss	l aa s #1
losses	l aa s ih z
lost	l aa s t
lot	l aa t #1
lotions	l ow sh ih n z
lots	l aa t s
loudest	l aw d ih s t
loudly	l aw d l iy
louse	l aw s
lousiness	l aw z iy n ih s
love	l ah v #1
loved	l ah v d
lovely	l ah v l iy
lovie	l ah v iy
loving	l ah v ih ng
low	l ow #1
lower	l ow er #1
lowered	l ow er d
loyal	l oy l #1
loyalties	l oy l t iy z
luck	l ah k #1
lucky	l ah k iy
lullaby	l ah l ih b ay
lumber	l ah m b er
lunch	l ah n ch #1
lunchroom	l ah n ch r uw m
lungs	l ah ng z
lush	l ah sh
luxurious	l ah g sh uh r iy ah s
luxury	l ah k sh er iy
lying	l ay ih ng
ma'am	m ae m #1
macabre	m ah k aa b r ah
machine	m ah sh iy n #1
machinery	m ah sh iy n er iy
machines	m ah sh iy n z
mad	m ae d #1
made	m ey d #1
madstones	m ae d s t ow n z
magnetic	m ae g n eh t ih k
magnetism	m ae g n ih t ih z m
magnificently	m ae g n ih f ih s ih n t l iy
magnified	m ae g n ih f ay d
magpies	m ae g p ay z
mahogany	m ah hh aa g ih n iy
maids'	m ey d z
mail	m ey l #1
main	m ey n #1
maintain	m ey n t ey n
maintenance	m ey n t ih n ih n s
major	m ey jh er
majority	m ah jh aa r ih t iy
make	m ey k #1
makes	m ey k s
making	m ey k ih ng
maladies	m ae l ah d iy z
malaria	m ah l ae r iy ah
male	m ey l #2
mammals	m ae m l z
man	m ae n #1
man's	m ae n z
manage	m ae n ih jh #1
managed	m ae n ih jh d
management	m ae n ih jh m ah n t
mandates	m ae n d ey t s
mango	m ae ng g ow
manhood	m ae n hh uh d
manifest	m ae n ah f eh s t
manner	m ae n er #1
mannerism	m ae n er ih z m
manners	m ae n er z
manual	m ae n y uw l
manufacturer	m ae n y uw f ae k ch er er #1
manufacturers	m ae n y uw f ae k ch er er z
manure	m ah n uh er
many	m eh n iy #1
many-bodied	m eh n iy b aa d iy d
map	m ae p
mare's	m ae r z
margaret	m aa r g r ah t
marine	m er iy n #1
marine's	m er iy n z
mark	m aa r k #1
marketing	m aa r k ih t ih ng
markets	m aa r k ih t s
marks	m aa r k s #1
marksmanship	m aa r k s m ah n sh ih p
marriage	m ae r ih jh
married	m ae r iy d
marshmallows	m aa r sh m eh l ow z
marvel	m aa r v l #1
marvelously	m aa r v l ah s l iy
mask	m ae s k #1
masks	m ae s k s
masonry	m ey s n r iy
masquerade	m ae s k er ey d
mass	m ae s #1
massage	m ah s aa sh
massive	m ae s ih v
master	m ae s t er #1
master's	m ae s t er z
masterful	m ae s t er f uh l
matched	m ae ch t
matching	m ae ch ih ng
mate	m ey t #1
material	m ah t ih r iy l #1
materials	m ah t ih r iy l z
mates	m ey t s
mathematics	m ae th ah m ae t ih k s
mathews	m ae th y uw z
matter	m ae t er #1
matters	m ae t er z
mattresses	m ae t r ih s ih z
maturity	m ah ch uh r ih t iy
maximal	m ae k s ah m l
maximize	m ae k s ih m ay z
maximum	m ae k s ih m ah m
may	m ey #1
mayan	m ay ah n
maybe	m ey b iy
mayonnaise	m ey ah n ey z
me	m iy #1
meadow	m eh d ow
meals	m iy l z
mealynosed	m iy l iy n ow z d
mean	m iy n #1
meaning	m iy n ih ng #1
meaningful	m iy n ih ng f uh l
meanness	m iy n ih s
means	m iy n z
meant	m eh n t #1
meanwhile	m iy n hh w ay l
measure	m eh sh er #1
measured	m eh sh er d
measurement	m eh sh er m ah n t
meat	m iy t #1
meats	m iy t s
mechanic	m ih k ae n ih k #1
mechanical	m ih k ae n ih k l
mechanism	m eh k ah n ih z m
media	m iy d iy ah #1
median	m iy d iy ah n
medical	m eh d ih k l
medicine	m eh d ih s ih n
medieval	m iy d ih iy v l
mediocrity	m iy d iy aa k r ih t iy
meet	m iy t #2
meeting	m iy t ih ng #1
meetings	m iy t ih ng z
melancholy	m eh l ih n k aa l iy
melodramatic	m eh l ow d r ah m ae t ih k
melody	m eh l ah d iy
melted	m eh l t ih d
member	m eh m b er #1
members	m eh m b er z
membership	m eh m b er sh ih p
memo	m eh m ow
memorized	m eh m er ay z d
memory	m eh m er iy
men	m eh n #1
mental	m eh n t l
mentality	m eh n t ae l ih t iy
mention	m eh n sh ih n
meow	m iy aw
mercenary	m er s n eh r iy
merchandising	m er ch ih n d ay z ih ng
mercilessly	m er s l eh s l iy
mere	m ih r #1
merely	m ih r l iy
merger	m er jh er #1
mergers	m er jh er z
merit	m eh r ih t
merrily	m eh r ih l iy
mess	m eh s #1
message	m eh s ih jh
messy	m eh s iy
met	m eh t #1
metal	m eh t l #1
metallic	m ah t ae l ih k
method	m eh th ah d #1
methods	m eh th ah d z
mettle	m eh t l #2
miami	m ay ae m iy
michael	m ay k l
micrometeorite	m ay k r ow m iy t iy er ay t #1
micrometeorites	m ay k r ow m iy t iy er ay t s
microorganisms	m ay k r ow aa r g ih n ih z m z
microscopically	m ay k r ih s k aa p ih k l iy
midair	m ih d ae r
midnight	m ih d n ay t
might	m ay t #1
mighty	m ay t iy
mike	m ay k #1
mile	m ay l #1
miles	m ay l z
military	m ih l ih t eh r iy
milk	m ih l k
millionaires	m ih l y ah n ae r z
mind	m ay n d #1
minded	m ay n d ih d
minds	m ay n d z
mine	m ay n #1
mining	m ay n ih ng
minister	m ih n ih s t er
minor	m ay n er
minority	m ay n aa r ah t iy
minute	m ih n ih t #1
minutes	m ih n ih t s
miraculous	m er ae k y uh l ah s #1
miraculously	m er ae k y uh l ah s l iy
mirage	m er aa sh
mirror	m ih r er #1
mirrors	m ih r er z
misbehavior	m ih s b ih hh ey v y er
miserable	m ih z er ah b l
misery	m ih z er iy
mishap	m ih s hh ae p
misinterpret	m ih s n t er p r ah t
misleading	m ih s l iy d ih ng
misperceives	m ih s p er s iy v z
misplaced	m ih s p l ey s t
misprint	m ih s p r ih n t
misquote	m ih s k w ow t
miss	m ih s #1
mistaken	m ih s t ey k ih n
mixed	m ih k s t
mixing	m ih k s ih ng
mobile	m ow b l
mock	m aa k
moded	m ow d ih d
modeled	m aa d l d
modeling	m aa d l ih ng
models	m aa d l z
modern	m aa d er n #1
modernization	m aa d er n ih z ey sh ih n
modernizing	m aa d er n ay z ih ng
modest	m aa d ih s t #1
modesty	m aa d ih s t iy
modified	m aa d ih f ay d
modular	m aa jh uh l er
moist	m oy s t
moistened	m oy s n d
moisture	m oy s ch er
mold	m ow l d #1
molded	m ow l d ih d
mollusks	m aa l ah s k s
mom	m aa m #1
moment	m ow m ah n t #1
momentary	m ow m ah n t eh r iy
moments	m ow m ah n t s
momma	m aa m ah
monday	m ah n d ey
money	m ah n iy
monitored	m aa n ih t er d
monkey	m ah ng k iy #1
monkey-gland	m ah ng k iy g l ae n d
monopolize	m ah n aa p ah l ay z
monstrous	m aa n s t r ah s
month	m ah n th #1
months	m ah n th s
moon	m uw n #1
moonlight	m uw n l ay t
mopped	m aa p t
moral	m aa r l
morale	m er ae l
more	m aa r #1
moreover	m aa r ow v er
morgue	m aa r g #1
morning	m aa r n ih ng
morphological	m aa r f ah l aa jh ih k l
morphophonemic	m aa r f ow f ow n iy m ih k
morrow	m aa r ow #1
mosquitoes	m ah s k iy t ow z
moss	m aa s
most	m ow s t #1
mostly	m ow s t l iy
motel	m ow t eh l
moth	m aa th
mother	m ah dh er #1
mother's	m ah dh er z #1
mothers	m ah dh er z #2
mothers-in-law	m ah dh er z ih n l aa
motioning	m ow sh ih n ih ng
motivates	m ow t ih v ey t s
motor	m ow t er #1
motorists	m ow t er ih s t s #1
motorists'	m ow t er ih s t s #2
mount	m aw n t #1
mountain	m aw n t n #1
mountainside	m aw n t n s ay d
mounting	m aw n t ih ng
mournfully	m aa r n f uh l iy
mouse	m aw s
mouth	m aw th #1
mouthful	m aw th f uh l
move	m uw v #1
moved	m uw v d
movement	m uw v m ah n t
moves	m uw v z
movie	m uw v iy #1
movies	m uw v iy z
moving	m uw v ih ng
mr.	m ih s t er #1
mrs.	m ih s ih z
much	m ah ch #1
mucus	m y uw k ih s
muddleheaded	m ah d l hh eh d ih d
muddy	m ah d iy
mudwagon	m ah d w ae g ah n
muffled	m ah f l d
mugs	m ah g z
multiple	m ah l t ah p l
murals	m y uh r l z
murder	m er d er #1
murderer	m er d er er
murky	m er k iy
murmured	m er m er d
muscle	m ah s l #1
muscles	m ah s l z
muscular	m ah s k y uh l er
museum	m y uw z iy ah m #1
museums	m y uw z iy ah m z
music	m y uw z ih k
musical	m uw z ih k l
musicians	m y uw z ih sh ih n z
muskrat	m ah s k r ae t
must	m ah s t #1
mustache	m ah s t ae sh
mustard	m ah s t er d
mutineer	m y uw t n ih r
my	m ay #1
myopia	m ay ow p iy ah
myself	m ay s eh l f
mysterious	m ih s t ih r iy ah s
mystery	m ih s t er iy
nagging	n ae g ih ng
nailed	n ey l d
nails	n ey l z
naive	n aa iy v
naked	n ey k ih d
name	n ey m #1
named	n ey m d
names	n ey m z
nan's	n ae n z
nancy's	n ae n aa iy z
narrow	n ae r ow #1
narrower	n ae r ow er
nasty	n ae s t iy
nathan	n ey th ih n
national	n ae sh ih n l
natural	n ae ch er l
naturally	n ae ch er ah l iy
nature	n ey ch er
navigate	n ae v ah g ey t
near	n ih r #1
near-at-hand	n ih r ae t hh ae n d
nearby	n ih r b ay
nearer	n ih r er
nearest	n ih r ih s t
nearing	n ih r ih ng
nearly	n ih r l iy
neat	n iy t
necessarily	n eh s ih s eh r ah l iy
necessary	n eh s ih s eh r iy
necessitates	n ih s eh s ah t ey t s
necessity	n ih s eh s ih t iy
neck	n eh k #1
necklace	n eh k l ah s
nectar	n eh k t er
need	n iy d #1
needed	n iy d ih d
needle	n iy d l #1
needle-sharp	n iy d l sh aa r p
needlepoint	n iy d l p oy n t
needless	n iy d l ah s
needs	n iy d z
neglect	n ah g l eh k t
negligent	n eh g l ih jh ih n t
negligible	n eh g l ih jh ih b l
negotiations	n ih g ow sh iy ey sh ih n z
neither	n iy dh er
neoclassic	n iy ow k l ae s ih k
nerves	n er v z
nested	n eh s t ih d
nevada	n ah v ae d ah #1
nevada's	n ah v ae d ah z
never	n eh v er #1
nevertheless	n eh v er dh ah l eh s
new	n uw #2
news	n uw z #1
newspaper	n uw z p ey p er
next	n eh k s t
nice	n ay s #1
nicely	n ay s l iy
night	n ay t #1
nightly	n ay t l iy
nightmares	n ay t m ae r z
nights	n ay t s
nihilistic	n ay ih l ih s t ih k
nine	n ay n
nip	n ih p
no	n ow #2
nobody	n ow b ah d iy #1
nobody's	n ow b ah d iy z
nodded	n aa d ih d
noise	n oy z #1
noisy	n oy z iy
non-	n aa n #1
non-contributory	n aa n k ah n t r ih b y uw t aa r iy
non-nonsense	n aa n aa n s eh n s
non-supervisory	n aa n s uw p er v ay z er iy
none	n ah n
nonprofit	n aa n p r aa f ah t
nonsense	n aa n s eh n s
nonsystematic	n aa n s ih s t ah m ae t ih k
nor	n aa r #1
nora	n aa r ah #1
nora's	n aa r ah z
normal	n aa r m l #1
normally	n aa r m l iy
norms	n aa r m z
north	n aa r th #1
northeast	n aa r th iy s t
northern	n aa r dh er n #1
northerners	n aa r dh er n er z
norwegian	n aa r w iy jh ih n
nose	n ow z #2
not	n aa t
note	n ow t #1
noted	n ow t ih d
notes	n ow t s
noteworthy	n ow t w er dh iy
nothin	n ah th ih n
nothing	n ah th ih ng
notice	n ow t ih s #1
notices	n ow t ih s ih z
notoriety	n ow t er ay ah t iy
novel	n aa v l #1
novelists	n aa v l ih s t s
novelty	n aa v l t iy
now	n aw #1
nowadays	n aw ah d ey z
nowhere	n ow hh w ae r
nuclear	n uw k l iy er
nucleus	n uw k l iy ah s
numb	n ah m #1
number	n ah m b er #1
numbering	n ah m b er ih ng
numbness	n ah m n ih s
numerous	n uw m er ah s
nurses'	n er s ih z
nut	n ah t #1
nutrients	n uw t r iy ah n t s
nutrition	n uw t r ih sh ih n
nuts	n ah t s
nymphomaniacs	n ih m f ah m ey n iy ae k s
o'	ow #1
o'clock	ah k l aa k
oak	ow k #1
oasis	ow ey s ih s
oatmeal	ow t m iy l
oats	ow t s
obey	ow b ey #1
obeying	ow b ey ih ng
objective	ah b jh eh k t ih v #1
objectives	ah b jh eh k t ih v z
object~n	aa b jh eh k t #1
object~v	ah b jh eh k t #1
objects	aa b jh eh k t s
observance	ah b z er v ih n s
observe	ah b z er v #1
observers	ah b z er v er z
obsession	aa b s eh sh ih n #1
obsessions	aa b s eh sh ih n z
obsolescent	aa b s ah l eh s n t
obstacles	aa b s t ih k l z
obtain	ah b t ey n #1
obtained	ah b t ey n d
obtaining	ah b t ey n ih ng
obverse	ah b v er s
obvious	aa b v iy ah s #1
obviously	aa b v iy ah s l iy
occasionally	ah k ey sh ih n ah l iy
occupied	aa k y uw p ay d
occur	ah k er #1
occurred	ah k er d
occurs	ah k er z
ocean	ow sh ih n #1
ocean's	ow sh ih n z
oceanographic	ow sh ih n ah g r ae f ih k
octillion	aa k t ih l y ah n
odd	aa d #1
odds	aa d z #1
odds-on	aa d z aa n
odor	ow d er
of	ah v #1
off	aa f #1
off-duty	aa f d uw t iy
offensive	ah f eh n s ih v
offer	aa f er #1
offered	aa f er d
offering	aa f er ih ng
office	aa f ah s #1
officer	aa f ah s er #1
officers	aa f ah s er z
offices	aa f ah s ih z
official	ah f ih sh l #1
officials	ah f ih sh l z
often	aa f ah n
ogress	ow g r eh s
oh	ow #2
oil	oy l #1
oil-field	oy l f iy l d
oils	oy l z
oily	oy l iy
ointment	oy n t m ah n t
okay	ow k ey
old	ow l d #1
old-timers	ow l d t ay m er z
older	ow l d er
oldsters	ow l d s t er z
ole	ow l #1
olive	aa l ih v
omitted	ow m ih t ih d
omitting	ow m ih t ih ng
on	aa n #1
once	w ah n s
one	w ah n #1
one's	w ah n z #1
one-half	w ah n hh ae f
one-o'clock	w ah n ah k l aa k
one-upmanship	w ah n ah p m ah n sh ih p
ones	w ah n z #2
onion	ah n y ah n
only	ow n l iy
onto	aa n t uw
oozed	uw z d
opaque	ow p ey k
open	ow p ah n #1
opened	ow p ah n d
opening	ow p ah n ih ng
opens	ow p ah n z
opera	aa p er ah
operated	aa p er ey t ih d
operates	aa p er ey t s
operation	aa p er ey sh ih n
opinions	ah p ih n y ah n z
opium	ow p iy ah m
opportunity	aa p er t uw n ih t iy
opposing	ah p ow z ih ng
opposite	aa p ah z ih t
oppressive	ah p r eh s ih v
optical	aa p t ih k l
optimal	aa p t ah m l
optimism	aa p t ah m ih z m
or	aa r #2
orange	aa r ih n jh
oratorical	aa r ah t aa r ih k l
orchestra	aa r k ih s t r ah
order	aa r d er #1
ordering	aa r d er ih ng
orders	aa r d er z
organism	aa r g ih n ih z m
organist	aa r g ih n ih s t
organizations	aa r g ih n ih z ey sh ih n z
oriental	aa r iy eh n t l
oriented	aa r iy eh n t ih d
origin	aa r ih jh ih n #1
original	aa r ih jh ih n l #1
originally	aa r ih jh ih n ah l iy
originals	aa r ih jh ih n l z
orthodontic	aa r th ah d aa n t ih k
orthodontist	aa r th ah d aa n t ih s t
other	ah dh er #1
others	ah dh er z
otherwise	ah dh er w ay z
otto's	aa t ow z
ought	aa t #1
our	aw r #2
ourselves	aw r s eh l v z
out	aw t #1
out-moded	aw t m ow d ih d
out-of-doors	aw t ah v d aa r z
outage	aw t ih jh
outcast	aw t k ae s t
outcome	aw t k ah m
outdoors	aw t d aa r z
outer	aw t er
outfielders	aw t f iy l d er z
outfit	aw t f ih t
outgrew	aw t g r uw
outgrow	aw t g r ow
outlaws	aw t l aa z
outlook	aw t l uh k
outpost	aw t p ow s t
outputs	aw t p uh t s
outset	aw t s eh t
outside	aw t s ay d
outstanding	aw t s t ae n d ih ng
outward	aw t w er d
oval	ow v l
over	ow v er #1
overalls	ow v er aa l z
overboard	ow v er b aa r d
overcame	ow v er k ey m
overcharged	ow v er ch aa r jh d
overdue	ow v er d uw
overeating	ow v er iy t ih ng
overflowed	ow v er f l ow d
overhangs	ow v er hh ae ng z
overhead	ow v er hh eh d
overlap	ow v er l ae p #1
overlapping	ow v er l ae p ih ng
overloaded	ow v er l ow d ih d
overlooked	ow v er l uh k t
overly	ow v er l iy
overnight	ow v er n ay t #1
overnighters	ow v er n ay t er z
overplayed	ow v er p l ey d
overprotection	ow v er p r ah t eh k sh ih n
overriding	ow v er r ay d ih ng
oversized	ow v er s ay z d
overtake	ow v er t ey k
overthrow	ow v er th r ow
overweight	ow v er w ey t
overwhelm	ow v er w eh l m #1
overwhelmed	ow v er w eh l m d
overwritten	ow v er r ih t n
own	ow n #1
owner	ow n er
owns	ow n z
oyster	oy s t er #1
oysters	oy s t er z
pa	p aa #1
pace	p ey s #1
pack	p ae k #1
package	p ae k ih jh
packing	p ae k ih ng
padlock	p ae d l aa k
paid	p ey d
pail	p ey l #1
pain	p ey n #1
paintings	p ey n t ih ng z
pair	p ae r #1
pairs	p ae r z
pale	p ey l #2
palm	p aa m #1
palpably	p ae l p ah b l iy
pam	p ae m #1
pamphlets	p ae m f l ih t s
pan	p ae n #1
panelization	p ae n l ay z ey sh ih n
panic	p ae n ih k
pansies	p ae n z iy z
papaya	p ah p ay ah
paper	p ey p er #1
papered	p ey p er d
paperweight	p ey p er w ey t
paprika	p ae p r iy k ah
parades	p er ey d z
paragraph	p ae r ah g r ae f
parallel	p ae r ah l eh l
paralysis	p er ae l ih s ih s
paramagnetic	p ae r ah m ae g n eh t ih k
paranoid	p ae r ah n oy d
pardon	p aa r d ih n
parental	p er eh n t l
parenthood	p ae r ah n t hh uh d
park	p aa r k #1
parking	p aa r k ih ng
parrots	p ae r ah t s
part	p aa r t #1
part-time	p aa r t ay m
parted	p aa r t ih d
participant	p aa r t ih s ah p ah n t #1
participants	p aa r t ih s ah p ah n t s
participate	p aa r t ih s ah p ey t #1
participates	p aa r t ih s ah p ey t s
particular	p er t ih k y uh l er #1
particularly	p er t ih k y uh l er l iy
parties	p aa r t iy z
partly	p aa r t l iy
partner	p aa r t n er
parts	p aa r t s
pass	p ae s #1
passed	p ae s t #1
passing	p ae s ih ng
passions	p ae sh ih n z
passive	p ae s ih v
past	p ae s t #2
paste	p ey s t
pastime	p ae s t ay m
pasture	p ae s ch er
path	p ae th #1
pathetic	p ah th eh t ih k
pathological	p ae th ah l aa jh ih k l
patient	p ey sh ih n t #1
patient's	p ey sh ih n t s
patiently	p ey sh ih n t l iy
patrons	p ey t r ah n z
patsy	p ae t s iy
pattered	p ae t er d
pattern	p ae t er n #1
patterns	p ae t er n z
pause	p aa z #1
paused	p aa z d
paw	p aa #2
pay	p ey #1
payments	p ey m ah n t s
pays	p ey z
peace	p iy s #1
peacefully	p iy s f uh l iy
peach	p iy ch #1
peaches	p iy ch ih z
peanut	p iy n ah t
pearls	p er l z
peas	p iy z
peck	p eh k
peculiar	p ah k y uw l y er
pedestal	p eh d ih s t l
peeling	p iy l ih ng
peered	p ih r d
penalty	p eh n l t iy
pendulum	p eh n jh ah l ah m
penetrated	p eh n ih t r ey t ih d
penguins	p eh ng g w ah n z
penicillin	p eh n ih s ih l ih n
pension	p eh n sh ih n
people	p iy p l
pepper	p eh p er #1
peppered	p eh p er d
per	p er #1
per-year	p er y ih r
perception	p er s eh p sh ih n
perennial	p er eh n iy l
perfect	p er f eh k t #1
perfectly	p er f eh k t l iy
performance	p er f aa r m ah n s #1
performances	p er f aa r m ah n s ih z
performers	p er f aa r m er z
perfume	p er f y uw m
perhaps	p er hh ae p s
perils	p eh r l z
period	p ih r iy ih d #1
periodical	p ih r iy aa d ih k l #1
periodically	p ih r iy aa d ih k l iy
periods	p ih r iy ih d z
permanent	p er m ah n ih n t
permit	p er m ih t
perpendicular	p er p ih n d ih k y uh l er
persistently	p er s ih s t ih n t l iy
persisting	p er s ih s t ih ng
person	p er s ih n #1
personal	p er s ih n l
personality	p er s ih n ae l ih t iy
personalized	p er s ih n ah l ay z d
personnel	p er s ih n eh l
persons	p er s ih n z
persuaded	p er s w ey d ih d
persuasively	p er s w ey s ih v l iy
pert	p er t #1
pertinent	p er t n ih n t
pervasive	p er v ey s ih v
perverse	p er v er s
pessimism	p eh s ah m ih z m
pests	p eh s t s
petticoats	p eh t ih k ow t s
petting	p eh t ih ng
petty	p eh t iy
pewter	p y uw t er
phase	f ey z
phenomenon	f ih n aa m ah n aa n
phil's	f ih l z
phone	f ow n #1
phones	f ow n z
phony	f ow n iy
phosphate	f aa s f ey t #1
phosphates	f aa s f ey t s
photochemical	f ow t ah k eh m ih k l
photographs	f ow t ow g r ae f s
photos	f ow t ow z
phrase	f r ey z
physical	f ih z ih k l
piano	p iy ae n ow
pick	p ih k #1
picked	p ih k t
picket	p ih k ih t
pickpocket	p ih k p aa k ih t #1
pickpockets	p ih k p aa k ih t s
picture	p ih k ch er #1
pictures	p ih k ch er z
pie	p ay #1
piece	p iy s #2
piecemeal	p iy s m iy l
pieces	p iy s ih z
pig	p ih g
pigeons	p ih jh ih n z
pile	p ay l #1
piled	p ay l d
pilgrims	p ih l g r ah m z
pill	p ih l #1
pills	p ih l z
pilots	p ay l ah t s #1
pilots'	p ay l ah t s #2
pine	p ay n #1
pink	p ih ng k
pins	p ih n z
pint	p ay n t #1
pint-sized	p ay n t s ay z d
pinto	p ih n t ow
pioneer	p ay ah n ih r
piped	p ay p t
pistachio	p ah s t ae sh iy ow
pit	p ih t #1
pitch	p ih ch #1
pitched	p ih ch t
pitcher	p ih ch er
pitiable	p ih t iy ah b l
pity	p ih t iy #1
pizzerias	p iy t s er iy ah z
place	p l ey s #1
placed	p l ey s t
places	p l ey s ih z
plaintiff	p l ey n t ih f
plan	p l ae n #1
plane	p l ey n #1
planes	p l ey n z
planets	p l ae n ih t s
planned	p l ae n d
planning	p l ae n ih ng
plans	p l ae n z
plant	p l ae n t #1
planted	p l ae n t ih d
plasters	p l ae s t er z
plate	p l ey t #1
plated	p l ey t ih d
platform	p l ae t f aa r m
play	p l ey #1
played	p l ey d
player	p l ey er #1
players	p l ey er z
playin'	p l ey n #2
plays	p l ey z
pleasant	p l eh z n t #1
pleasantly	p l eh z n t l iy
please	p l iy z
pleasure	p l eh sh er
pledge	p l eh jh
plenty	p l eh n t iy
plow	p l aw
plumber	p l ah m er
plunged	p l ah n jh d
plymouth	p l ih m ih th
plywood	p l ay w uh d
pneumonia	n uh m ow n y ah
poach	p ow ch
pocket	p aa k ih t #1
pockets	p aa k ih t s
poems	p ow ah m z
poetry	p ow ah t r iy
poets	p ow ah t s
poignancy	p oy n y ah n t s iy
point	p oy n t #1
pointing	p oy n t ih ng
points	p oy n t s
poised	p oy z d
poison	p oy z n #1
poisoned	p oy z n d
poisonous	p oy z ih n ih s
poisons	p oy z n z
policeman	p ah l iy s m ae n
policy	p aa l ih s iy
polished	p aa l ih sh t
politeness	p ah l ay t n ih s
political	p ah l ih t ih k l
politics	p aa l ih t ih k s
polyesters	p aa l iy eh s t er z
pompousness	p aa m p ah s n ih s
pond	p aa n d
pool	p uw l #1
pool-side	p uw l s ay d
pools	p uw l z
poor	p uh r #1
poorly	p uh r l iy
pop	p aa p #1
populace	p aa p y uh l ah s
popular	p aa p y uh l er
popularity	p aa p y uh l ae r ah t iy
population	p aa p y uh l ey sh ih n
porch	p aa r ch
porcupines	p aa r k y uw p ay n z
pork	p aa r k #2
portable	p aa r t ah b l
portion	p aa r sh ih n
portray	p aa r t r ey #1
portrayal	p aa r t r ey l
position	p ah z ih sh ih n
positive	p aa z ih t ih v
possessed	p ah z eh s t
possibilities	p aa s ih b ih l ih t iy z
possibility	p aa s ih b ih l ih t iy #1
possible	p aa s ih b l
post	p ow s t #1
post-attack	p ow s t ah t ae k
postdate	p ow s t d ey t
postponed	p ow s t p ow n d
potatoes	p ah t ey t ow z
potent	p ow t n t
pottery	p aa t er iy
poultices	p ow l t ih s ih z
poultry	p ow l t r iy
pound	p aw n d
pouring	p aa r ih ng
poverty	p aa v er t iy
powder	p aw d er #1
powders	p aw d er z
power	p aw er #1
powered	p aw er d
powerful	p aw er f uh l #1
powerfully	p aw er f uh l iy
powers	p aw er z
practical	p r ae k t ih k l
practically	p r ae k t ih k ah l iy
practiced	p r ae k t ih s t
practices	p r ae k t ih s ih z
praises	p r ey z ih z
prayed	p r ey d
preached	p r iy ch t
precariously	p r ih k ae r iy ah s l iy
precaution	p r ih k aa sh ih n
preceded	p r iy s iy d ih d
precincts	p r iy s ih ng k t s
precision	p r ih s ih sh ih n
predicament	p r ih d ih k ah m ah n t
predispositions	p r iy d ih s p ah z ih sh ih n z
predominantly	p r ih d aa m ih n ih n t l iy
prefers	p r ih f er z
premiums	p r iy m iy ah m z
preoccupied	p r iy aa k y uw p ay d
preparation	p r eh p er ey sh ih n
prepare	p r ih p ae r #1
prepared	p r ih p ae r d
preparing	p r ih p ae r ih ng
preprepared	p r iy p r ih p ae r d
prerequisite	p r iy r eh k w ah z ih t
preschooler	p r iy s k uw l er
prescribe	p r ih s k r ay b
prescription	p r ih s k r ih p sh ih n
presented	p r ah z eh t ih d
presently	p r eh z n t l iy
present~n~adj	p r eh z n t #1
present~v	p r ih z eh n t #1
presents	p r ih z eh n t s
preservation	p r eh z er v ey sh ih n
preserved	p r ih z er v d
preserves	p r ih z er v z
president	p r eh z ih d ih n t
pressure	p r eh sh er
prestige	p r eh s t iy sh
presumably	p r ih z uw m ah b l iy
presumed	p r ih z uw m d
presumes	p r ih z uw m z
pretend	p r ih t eh n d
pretty	p r ih t iy
prevent	p r ah v eh n t #1
prevented	p r ah v eh n t ih d
preventing	p r ah v eh n t ih ng
previous	p r iy v iy ah s
price	p r ay s #1
prices	p r ay s ih z
primacy	p r ay m ah s iy
primarily	p r ay m eh r ah l iy
primary	p r ay m eh r iy
prime	p r ay m #1
primitive	p r ih m ah t ih v
primly	p r ih m l iy
princes	p r ih n s ih z
principles	p r ih n s ih p l z
print	p r ih n t #1
prints	p r ih n t s
priorities	p r ay aa r ih t iy z
priority	p r ay aa r ih t iy #1
prison	p r ih z n #1
prisoner	p r ih z n er #1
prisoners	p r ih z n er z
private	p r ay v ah t #1
private-eye	p r ay v ah t ay
privately	p r ay v ah t l iy
privations	p r ay v ey sh ih n z
prizes	p r ay z ih z
probabilities	p r aa b ah b ih l ih t iy z
probably	p r aa b ah b l iy
